postcode,latitude,longitude
AB23 8UR,57.23754333,-2.104171395
AB23 8US,57.23391449,-2.113819
AB23 8UT,57.22499376,-2.11498344
AB23 8UU,57.239532,-2.12926
AB23 8UW,57.22879391,-2.092850856
AB23 8UX,57.245516,-2.128105
AB23 8UY,57.23016106,-2.102146362
AB23 8UZ,57.22331834,-2.09934527
AB23 8WA,57.24974522,-2.057555242
AB23 8WB,57.25022967,-2.058898364
AB23 8WD,57.2487679,-2.053477067
AB23 8WE,57.2486336,-2.052432857
AB23 8WF,57.24813027,-2.052995
AB23 8WG,57.24803078,-2.054702278
AB23 8WH,57.24848955,-2.053194945
AB23 8WJ,57.24809937,-2.061728666
AB23 8WL,57.24704315,-2.053573984
AB23 8WS,57.24951242,-2.087136
AB23 8WT,57.25276408,-2.087508326
AB23 8WU,57.25307162,-2.051262461
AB23 8WY,57.246925,-2.055347
AB23 8WZ,57.24669282,-2.053556902
AB23 8XA,57.25343486,-2.140214708
AB23 8XB,57.255322,-2.130642
AB23 8XD,57.25895223,-2.138511766
AB23 8XE,57.26770553,-2.142955028
AB23 8XF,57.25135207,-2.05986139
AB23 8XG,57.25365361,-2.055705083
AB23 8XH,57.27681,-2.13843
AB23 8XJ,57.281349,-2.151948
AB23 8XL,57.281836,-2.134617
AB23 8XN,57.27981138,-2.120130367
AB23 8XP,57.27752768,-2.102178317
AB23 8XQ,57.2708276,-2.130083204
AB23 8XR,57.25052511,-2.061782
AB23 8XS,57.24674122,-2.065156545
AB23 8XU,57.254812,-2.055408
AB23 8XW,57.25146966,-2.058137995
AB23 8XX,57.25934083,-2.053243811
AB23 8XY,57.26415382,-2.057345711
AB23 8XZ,57.25083981,-2.060374308
AB23 8YA,57.26695907,-2.069901072
AB23 8YB,57.268001,-2.051565
AB23 8YD,57.2767318,-2.052771504
AB23 8YE,57.27503918,-2.038739408
AB23 8YF,57.25026663,-2.056677722
AB23 8YG,57.24883769,-2.088758448
AB23 8YH,57.28447304,-2.032047926
AB23 8YJ,57.27881919,-2.064732453
AB23 8YL,57.274968,-2.090181
AB23 8YN,57.26087747,-2.084792384
AB23 8YP,57.26390705,-2.081234982
AB23 8YQ,57.25259071,-2.061918514
AB23 8YR,57.257184,-2.071986986
AB23 8YS,57.25842479,-2.085333743
AB23 8YT,57.25072472,-2.087868076
AB23 8YU,57.24796429,-2.09162319
AB23 8YW,57.25065366,-2.054954771
AB23 8YX,57.235399,-2.089505
AB23 8YY,57.2374526,-2.06576963
AB23 8YZ,57.25015044,-2.055368327
AB23 8ZA,57.23221928,-2.1007441
AB23 8ZB,57.23099781,-2.100492305
AB23 8ZD,57.23205985,-2.097894614
AB23 8ZE,57.233774,-2.099903534
AB23 8ZF,57.23455399,-2.101794099
