IS_ENCLOSED,AGE_INDEX,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WAR,CURRENT_ENERGY_EFFICIENCY
0,5,0.0,0,1,0,0.68,2,39.300042891461224,0,1,0,50,0.519,0,7,2,0,0,-1,0,-1,0.7,43,3,260,0.4,1,0.8341697674418604,69
0,5,0.0,1,1,1,0.22,3,38.73868008169902,0,0,0,50,0.216,1,0,3,0,0,4,0.68,-1,0,46.8,2,260,1,1,0.8378991452991453,72
0,2,0.0,1,1,0,2.3,3,30.535953849293023,0,1,0,25,0.216,1,2,3,0,0,3,2.3,0.216,0.6,117,3,250,0.7,3,0.8192393162393162,58
0,5,0.015384615384615385,1,1,0,0.68,3,36.89207116338631,0,1,0,44,0.216,1,4,3,0,0,3,0.68,0.216,0,65,2,260,1,3,0.7898769230769231,69
0,1,0.009708737864077669,1,1,0,2.3,3,32.32765108073981,0,0,1,67,0.216,1,4,3,0,0,1,2.3,-1,0,103,0,220,1.7,3,0.811252427184466,66
0,2,0.0,1,1,0,2.3,3,34.79968480275066,0,1,0,58,0.216,1,1,3,0,0,0,2.3,0.216,0,84,1,250,1.5,3,0.796154761904762,56
0,3,0.0,1,1,0,2.3,3,36.84754195265131,0,1,0,100,0.216,1,4,3,0,0,3,2.3,-1,0,65.01,3,250,0.7,2,0.7857668974004,72
0,2,0.014925373134328358,1,1,0,2.3,3,36.70246401236989,0,0,1,38,0.216,1,0,3,0,0,3,2.3,0.216,0,67,1,250,1.5,3,0.7753880597014926,65
0,1,0.0,1,1,0,2.3,3,37.40660779499976,0,0,1,100,0.216,1,0,3,0,0,0,2.3,0.216,0,59.08,0,220,1.7,2,0.7616323628977657,60
0,10,0.0,1,1,0,0.2,3,36.95306430509638,0,1,0,89,0.216,1,0,3,0,0,4,0.2,-1,0,64,3,300,0.3,2,0.862796875,77
0,10,0.0,1,1,1,0.22,3,36.143601854398355,1,0,0,100,0.216,1,0,3,0,0,4,0.2,-1,0,72,3,300,0.3,2,0.8797555555555556,80
0,1,0.018867924528301886,1,1,0,2.3,3,38.03167322442673,0,0,1,50,0.216,1,9,3,0,0,3,2.3,0.216,0,53,1,220,1.7,2,0.7482830188679246,67
0,1,0.0,0,1,0,2.3,1,37.68161429264515,0,0,1,0,0.519,0,8,2,0,0,0,2.3,-1,0.4,57,3,220,0.32,2,0.7573859649122807,43
0,2,0.013333333333333334,1,1,0,2.3,2,35.829285480793374,0,1,0,88,0.216,0,4,3,0,1,3,2.3,-1,0,75,0,220,1.7,2,0.7863333333333333,64
0,4,0.021706099413935316,1,1,0,1.5,3,33.789545958116456,0,1,0,27,0.216,1,4,3,0,0,3,1.5,-1,0,92.14,3,250,0.7,3,0.7965254395485132,64
0,6,0.0,1,1,1,0.22,3,37.651704539572506,0,1,0,38,0.216,1,0,3,0,0,3,0.4,-1,0,57,3,270,0.35,2,0.8691052631578947,77
0,10,0.0,1,1,0,0.2,3,32.319906059129124,0,1,0,78,0.216,1,0,3,0,0,4,0.2,-1,0,103,3,300,0.3,3,0.8604126213592234,78
0,4,0.010526315789473684,1,1,0,1.5,3,33.41305439597141,0,1,0,30,0.216,1,1,3,0,0,3,1.5,-1,0,95,3,250,0.7,3,0.798921052631579,66
0,3,0.0,1,1,0,2.3,2,38.818842625643725,0,1,0,83,0.216,1,0,3,0,0,-1,0,-1,0,46,1,250,1.5,1,0.7797695652173913,63
0,4,0.0,0,1,0,0.22,2,38.94676353719869,0,0,1,100,0.519,0,7,2,0,0,-1,0,-1,0.7,45,3,250,0.35,1,0.7825222222222222,82
0,1,0.010869565217391304,0,0,0,2.3,0,33.79853338670706,0,1,0,40,0,1,13,0,0,0,0,2.3,0.216,0,92,0,220,1.7,3,0.8032717391304348,6
0,7,0.008177283506419167,1,1,0,0.35,2,29.892159301326434,1,0,0,7,0.216,1,4,3,0,0,3,0.35,0.216,0,122.29,3,270,0.6,4,0.8517696295690571,58
0,4,0.0,0,1,0,1.5,0,36.177877169550555,0,1,0,56,0.216,1,2,3,0,0,3,1.5,-1,0.6,72,3,250,0.7,2,0.7742666666666667,53
0,0,0.0,1,1,0,2.3,3,34.21497753304446,0,0,1,0,0.216,1,9,3,0,0,0,2.3,-1,0,89,0,220,1.7,2,0.800752808988764,51
0,3,0.011904761904761904,1,1,0,2.3,3,34.8265905378262,0,1,0,22,0.216,1,0,3,0,0,2,2.3,0.216,0,84,3,250,0.7,3,0.8049452380952381,62
0,1,0.01,1,1,0,2.3,3,32.709920781369995,0,1,0,89,0.216,1,2,3,0,0,2,2.3,0.216,0.6,100,0,220,1.7,3,0.80925,51
0,3,0.0,1,1,0,2.3,3,34.91882300164581,0,1,0,62,0.216,1,4,3,0,0,3,2.3,0.216,0,83,3,250,0.7,3,0.8041542168674699,66
0,5,0.0,1,1,0,0.68,3,37.52096430149719,0,1,0,83,0.216,1,0,3,0,0,3,0.68,-1,0,58,2,260,1,2,0.7796275862068965,65
