AGE_INDEX,ENERGY_TARIFF,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HW_GAS,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_LIGHTING,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,MECHANICAL_SUPPLY,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WINDOW_AREA,CURRENT_ENERGY_EFFICIENCY
4,0,0.021652051531882644,1,0,1,0,1.5,3,0.7722228543684879,33.760025622004484,0,1,0,27,0.216,1,2,3,0,0,5,0,0,3,1.5,0.216,0,92.37,3,250,0.7,3,18.776643,67
3,0,0.0,1,0,1,0,2.3,2,0.900327076183932,35.77910172408955,0,1,0,55,0.216,1,0,3,0,0,5,0,0,2,2.3,0.216,0,75.68,3,250,0.7,3,15.307991999999999,63
1,0,0.01450010875081563,1,0,1,0,2.3,3,0.9437939556968071,36.457425055020764,0,0,1,100,0.216,1,0,3,0,0,4,0,0,3,2.3,-1,0,68.965,3,250,0.7,2,15.288730000000001,71
10,0,0.0,1,0,1,1,0.22,3,1.3475550523232829,38.64854421124781,0,0,0,100,0.216,1,0,3,0,0,2,0,0,3,0.2,-1,0,47.18,4,300,0.3,1,5.808264,82
3,0,0.0,1,0,1,1,0.22,2,1.1978372725378743,37.90271548467762,0,0,0,86,0.216,1,0,3,0,0,3,0,0,3,2.3,0.216,0,54,3,250,0.7,2,10.4034,71
5,0,0.0,1,0,1,0,0.68,3,0.9088313142378083,35.515695438856426,0,1,0,7,0.216,1,0,3,0,0,5,0,0,3,0.68,0.216,0,78.32,3,260,0.4,3,15.325664,72
0,0,0.021734405564007825,1,0,1,0,2.3,3,1.3800127672241569,38.803833333383984,0,0,0,100,0.216,1,0,3,0,0,2,0,0,-1,0,-1,0,46.01,3,220,0.32,1,9.265401,78
4,0,0.011090163025396473,1,0,1,0,1.5,3,0.7915803281898245,34.04781706743264,0,1,0,23,0.216,1,2,3,0,0,5,0,0,2,1.5,0.216,0,90.17,3,250,0.7,3,18.504063,64
4,0,0.0,1,0,1,0,1.5,1,1.4208075696938829,38.766981403921335,0,1,0,25,0.216,1,1,3,0,0,3,0,0,3,1.5,0.216,0,46.74,3,250,0.7,2,13.123086,53
10,0,0.0,1,0,1,0,0.2,3,0.9067316675024045,35.676773916531054,0,1,0,31,0.216,1,1,3,0,0,5,0,0,3,0.2,-1,0,76.75,3,300,0.3,3,10.610624999999999,75
1,0,0.009645992090286486,1,0,1,0,2.3,2,0.694356840278932,32.264373256455634,0,0,1,30,0.216,1,1,3,0,0,6,0,0,2,2.3,-1,0,103.67,1,250,1.5,3,19.52274,55
3,0,0.0,1,0,1,1,0.22,3,1.2808994454605902,38.33548219428496,0,0,0,100,0.216,1,0,3,1,0,3,0,0,3,2.3,-1,0,49.78,3,250,0.7,2,10.259497999999999,72
4,0,0.0,1,0,1,0,1.5,3,1.03886001196482,36.92759209115996,1,0,0,56,0.216,1,2,3,0,0,4,0,0,3,1.5,0.216,0,64.54,3,250,0.7,2,15.328506,69
5,0,0.015424957581366652,1,0,1,1,0.68,3,0.9997812464347642,36.864863806467,0,0,0,100,0.216,1,0,3,0,0,3,0,0,3,0.68,-1,0,64.83,3,260,0.4,2,9.748117,77
4,1,0.0,0,0,1,0,1.5,1,1.6666967236835035,40.33339495000184,0,0,0,100,0.519,0,5,2,0,0,2,0,0,-1,0,-1,0.7,37.75,3,250,0.7,1,9.266675,67
1,0,0.02942041776993233,1,0,1,0,2.3,3,0.9954682606287503,36.59538333188319,0,0,1,50,0.216,1,0,3,0,0,4,0,0,0,2.3,-1,0,67.98,0,220,1.7,2,15.168560000000001,59
10,0,0.0,0,0,0,1,0.22,0,1.162337189104975,37.495271719390466,1,0,0,14,0.519,0,7,0,0,0,3,0,0,-1,0,-1,0,58.86,3,300,0.3,2,7.149128,77
4,1,0.0,0,0,1,0,1.5,1,1.5097291612087254,39.386287557651805,0,0,0,80,0.519,0,5,2,1,0,2,0,0,-1,0,-1,0.7,42.35,3,250,0.7,1,9.596494999999999,61
6,0,0.015167602002123463,1,0,1,0,0.4,1,1.0363859448140362,36.81064535274138,0,1,0,33,0.216,1,0,3,0,0,4,0,0,2,0.4,-1,0,65.93,3,270,0.6,3,14.182108,56
1,0,0.012077294685990338,1,0,1,0,2.3,3,0.8410401013624449,34.95995384224687,0,0,1,40,0.216,1,1,3,0,0,5,0,0,0,2.3,-1,0,82.8,1,250,1.5,3,16.976599999999998,48
3,0,0.011653653420347278,1,0,1,0,2.3,3,0.8380529289423281,34.61252244419237,0,1,0,8,0.216,1,2,3,0,0,4,0,0,3,2.3,0.216,0,85.81,3,250,0.7,2,16.618814,65
4,0,0.0,1,0,1,0,1.5,3,1.6412774245448796,40.18436883008053,0,1,0,100,0.216,1,0,3,0,0,5,0,0,1,1.5,-1,0,38.36,1,250,1.5,3,12.084803999999998,59
1,0,0.027609055770292656,1,0,1,0,2.3,3,0.9786090258214415,36.17399538861707,0,0,1,0,0.216,1,2,3,0,0,3,0,0,3,2.3,0.216,0,72.44,0,220,1.7,2,15.712679999999999,58
1,0,0.011291779584462511,1,0,1,0,2.3,3,0.7723327903204105,34.22227977456591,0,1,0,67,0.216,1,0,3,0,0,4,0,0,2,2.3,-1,0,88.56,0,220,1.7,2,17.67932,62
5,0,0.0,1,0,1,0,0.68,3,1.030249286160481,36.76766225402475,0,1,0,33,0.216,1,0,3,0,0,4,0,0,3,0.68,-1,0,66.37,3,260,0.4,2,13.829524000000001,67
4,0,0.0,1,0,1,0,1.5,3,0.808491499092792,34.87330711826312,0,0,1,78,0.216,1,0,3,0,0,5,0,0,0,1.5,-1,0,83.28,3,250,0.7,3,17.650392,67
4,0,0.0,1,0,1,0,1.5,3,0.8647798793359701,35.178053417781975,0,1,0,30,0.216,1,2,3,0,0,5,0,0,2,1.5,-1,0,81.05,3,250,0.7,3,17.374095,66
